"week_date","week_number","month_number","calendar_year","region","platform","segment","age_band","demographic","customer_type","transactions","sales","avg_transaction"
"2020-08-31",36,8,2020,"CANADA","Retail","F3","Retires","Families","New",19524,690966,"35.00"
"2020-08-31",36,8,2020,"ASIA","Retail","C4","Retires","Couples","New",53286,1520060,"28.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Retail","C1","Young Adults","Couples","New",2466,52421,"21.00"
"2020-08-31",36,8,2020,"EUROPE","Retail","unknown","unknown","unknown","Guest",97001,3352338,"34.00"
"2020-08-31",36,8,2020,"CANADA","Shopify","F3","Retires","Families","New",36,6107,"169.00"
"2020-08-31",36,8,2020,"USA","Shopify","F2","Middle Aged","Families","Existing",2031,402380,"198.00"
"2020-08-31",36,8,2020,"AFRICA","Retail","F2","Middle Aged","Families","Existing",277600,14910405,"53.00"
"2020-08-31",36,8,2020,"USA","Shopify","F2","Middle Aged","Families","New",157,25858,"164.00"
"2020-08-31",36,8,2020,"EUROPE","Shopify","unknown","unknown","unknown","New",20,4085,"204.00"
"2020-08-31",36,8,2020,"OCEANIA","Shopify","C1","Young Adults","Couples","Existing",2801,481198,"171.00"
"2020-08-31",36,8,2020,"CANADA","Retail","unknown","unknown","unknown","Guest",396145,11133538,"28.00"
"2020-08-31",36,8,2020,"USA","Retail","F2","Middle Aged","Families","New",28592,1063716,"37.00"
"2020-08-31",36,8,2020,"CANADA","Retail","C2","Middle Aged","Couples","Existing",23062,1001335,"43.00"
"2020-08-31",36,8,2020,"OCEANIA","Retail","unknown","unknown","unknown","Guest",2437738,63989387,"26.00"
"2020-08-31",36,8,2020,"EUROPE","Shopify","unknown","unknown","unknown","Guest",343,79359,"231.00"
"2020-08-31",36,8,2020,"OCEANIA","Shopify","F3","Retires","Families","Existing",3920,836865,"213.00"
"2020-08-31",36,8,2020,"ASIA","Shopify","unknown","unknown","unknown","Existing",384,67279,"175.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Retail","F3","Retires","Families","New",329,11863,"36.00"
"2020-08-31",36,8,2020,"EUROPE","Retail","F2","Middle Aged","Families","New",1738,72565,"41.00"
"2020-08-31",36,8,2020,"OCEANIA","Retail","F3","Retires","Families","New",110894,3749562,"33.00"
"2020-08-31",36,8,2020,"USA","Shopify","unknown","unknown","unknown","Existing",196,40740,"207.00"
"2020-08-31",36,8,2020,"USA","Retail","C3","Retires","Couples","Existing",102736,5786447,"56.00"
"2020-08-31",36,8,2020,"EUROPE","Retail","C4","Retires","Couples","Existing",4652,250536,"53.00"
"2020-08-31",36,8,2020,"OCEANIA","Retail","unknown","unknown","unknown","Existing",50786,2056315,"40.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Shopify","F3","Retires","Families","New",3,372,"124.00"
"2020-08-31",36,8,2020,"OCEANIA","Shopify","C4","Retires","Couples","Existing",731,136743,"187.00"
"2020-08-31",36,8,2020,"CANADA","Shopify","C3","Retires","Couples","New",115,16103,"140.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Shopify","unknown","unknown","unknown","Guest",2172,407861,"187.00"
"2020-08-31",36,8,2020,"USA","Shopify","F3","Retires","Families","New",63,10501,"166.00"
"2020-08-31",36,8,2020,"CANADA","Retail","C4","Retires","Couples","New",13579,451994,"33.00"
"2020-08-31",36,8,2020,"USA","Shopify","C4","Retires","Couples","Existing",164,29757,"181.00"
"2020-08-31",36,8,2020,"CANADA","Shopify","C2","Middle Aged","Couples","Existing",726,125653,"173.00"
"2020-08-31",36,8,2020,"ASIA","Shopify","C3","Retires","Couples","New",247,35572,"144.00"
"2020-08-31",36,8,2020,"ASIA","Shopify","C1","Young Adults","Couples","New",277,35314,"127.00"
"2020-08-31",36,8,2020,"OCEANIA","Shopify","unknown","unknown","unknown","New",507,83877,"165.00"
"2020-08-31",36,8,2020,"ASIA","Retail","C1","Young Adults","Couples","New",132545,2819145,"21.00"
"2020-08-31",36,8,2020,"ASIA","Retail","F3","Retires","Families","New",89785,2770220,"30.00"
"2020-08-31",36,8,2020,"USA","Shopify","F3","Retires","Families","Existing",1083,224778,"207.00"
"2020-08-31",36,8,2020,"ASIA","Shopify","C1","Young Adults","Couples","Existing",1282,210754,"164.00"
"2020-08-31",36,8,2020,"AFRICA","Shopify","unknown","unknown","unknown","New",300,51883,"172.00"
"2020-08-31",36,8,2020,"OCEANIA","Shopify","C4","Retires","Couples","New",100,15077,"150.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Retail","C4","Retires","Couples","Existing",414,18437,"44.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Shopify","unknown","unknown","unknown","Existing",3,472,"157.00"
"2020-08-31",36,8,2020,"CANADA","Retail","unknown","unknown","unknown","Existing",8410,411147,"48.00"
"2020-08-31",36,8,2020,"EUROPE","Shopify","F2","Middle Aged","Families","Existing",249,55333,"222.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Retail","C1","Young Adults","Couples","Existing",3087,85926,"27.00"
"2020-08-31",36,8,2020,"AFRICA","Shopify","F3","Retires","Families","New",122,20927,"171.00"
"2020-08-31",36,8,2020,"AFRICA","Retail","unknown","unknown","unknown","Existing",37883,1657269,"43.00"
"2020-08-31",36,8,2020,"ASIA","Shopify","C4","Retires","Couples","New",46,6147,"133.00"
"2020-08-31",36,8,2020,"ASIA","Retail","C4","Retires","Couples","Existing",110176,4894437,"44.00"
"2020-08-31",36,8,2020,"AFRICA","Retail","unknown","unknown","unknown","Guest",1547309,44346247,"28.00"
"2020-08-31",36,8,2020,"OCEANIA","Shopify","F1","Young Adults","Families","Existing",4498,839437,"186.00"
"2020-08-31",36,8,2020,"CANADA","Shopify","F1","Young Adults","Families","Existing",789,134990,"171.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Shopify","C3","Retires","Couples","Existing",109,23057,"211.00"
"2020-08-31",36,8,2020,"EUROPE","Retail","C4","Retires","Couples","New",1352,49263,"36.00"
"2020-08-31",36,8,2020,"ASIA","Retail","unknown","unknown","unknown","Existing",38663,1493771,"38.00"
"2020-08-31",36,8,2020,"AFRICA","Shopify","C2","Middle Aged","Couples","New",389,57455,"147.00"
"2020-08-31",36,8,2020,"CANADA","Retail","unknown","unknown","unknown","New",14685,561282,"38.00"
"2020-08-31",36,8,2020,"USA","Retail","unknown","unknown","unknown","New",22186,930478,"41.00"
"2020-08-31",36,8,2020,"OCEANIA","Shopify","C2","Middle Aged","Couples","New",842,132424,"157.00"
"2020-08-31",36,8,2020,"USA","Shopify","F1","Young Adults","Families","New",135,20860,"154.00"
"2020-08-31",36,8,2020,"AFRICA","Retail","C1","Young Adults","Couples","Existing",186404,6891042,"36.00"
"2020-08-31",36,8,2020,"AFRICA","Shopify","C1","Young Adults","Couples","Existing",1689,269373,"159.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Retail","unknown","unknown","unknown","Guest",413244,16755039,"40.00"
"2020-08-31",36,8,2020,"ASIA","Shopify","F1","Young Adults","Families","New",228,33200,"145.00"
"2020-08-31",36,8,2020,"OCEANIA","Retail","C1","Young Adults","Couples","Existing",260181,9284850,"35.00"
"2020-08-31",36,8,2020,"EUROPE","Retail","F2","Middle Aged","Families","Existing",14482,887564,"61.00"
"2020-08-31",36,8,2020,"EUROPE","Shopify","C1","Young Adults","Couples","Existing",118,27732,"235.00"
"2020-08-31",36,8,2020,"AFRICA","Retail","C1","Young Adults","Couples","New",97673,2423159,"24.00"
"2020-08-31",36,8,2020,"ASIA","Shopify","F3","Retires","Families","New",113,15927,"140.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Retail","unknown","unknown","unknown","New",1266,44500,"35.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Shopify","F1","Young Adults","Families","New",6,623,"103.00"
"2020-08-31",36,8,2020,"USA","Retail","C3","Retires","Couples","New",46838,1769576,"37.00"
"2020-08-31",36,8,2020,"USA","Retail","C4","Retires","Couples","New",18774,665292,"35.00"
"2020-08-31",36,8,2020,"USA","Retail","C4","Retires","Couples","Existing",40024,2186307,"54.00"
"2020-08-31",36,8,2020,"USA","Shopify","C2","Middle Aged","Couples","Existing",1420,277104,"195.00"
"2020-08-31",36,8,2020,"ASIA","Retail","C2","Middle Aged","Couples","New",87269,2234801,"25.00"
"2020-08-31",36,8,2020,"USA","Shopify","unknown","unknown","unknown","New",154,25762,"167.00"
"2020-08-31",36,8,2020,"USA","Shopify","C3","Retires","Couples","Existing",1501,312519,"208.00"
"2020-08-31",36,8,2020,"EUROPE","Shopify","C4","Retires","Couples","Existing",22,4971,"225.00"
"2020-08-31",36,8,2020,"CANADA","Retail","C3","Retires","Couples","Existing",62206,3227065,"51.00"
"2020-08-31",36,8,2020,"CANADA","Shopify","unknown","unknown","unknown","Guest",1621,269863,"166.00"
"2020-08-31",36,8,2020,"AFRICA","Retail","F2","Middle Aged","Families","New",65304,2291992,"35.00"
"2020-08-31",36,8,2020,"EUROPE","Retail","unknown","unknown","unknown","Existing",3211,150741,"46.00"
"2020-08-31",36,8,2020,"ASIA","Shopify","unknown","unknown","unknown","New",278,46931,"168.00"
"2020-08-31",36,8,2020,"EUROPE","Shopify","F1","Young Adults","Families","Existing",138,30015,"217.00"
"2020-08-31",36,8,2020,"USA","Retail","F2","Middle Aged","Families","Existing",96079,5527494,"57.00"
"2020-08-31",36,8,2020,"USA","Shopify","C1","Young Adults","Couples","Existing",739,128749,"174.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Retail","F2","Middle Aged","Families","Existing",1098,48912,"44.00"
"2020-08-31",36,8,2020,"OCEANIA","Retail","unknown","unknown","unknown","New",83764,2829225,"33.00"
"2020-08-31",36,8,2020,"EUROPE","Retail","C3","Retires","Couples","Existing",14816,815588,"55.00"
"2020-08-31",36,8,2020,"AFRICA","Shopify","C2","Middle Aged","Couples","Existing",2568,471837,"183.00"
"2020-08-31",36,8,2020,"ASIA","Shopify","F3","Retires","Families","Existing",1916,372983,"194.00"
"2020-08-31",36,8,2020,"OCEANIA","Shopify","F1","Young Adults","Families","New",333,48796,"146.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Retail","C2","Middle Aged","Couples","New",906,25570,"28.00"
"2020-08-31",36,8,2020,"USA","Retail","unknown","unknown","unknown","Existing",14146,694767,"49.00"
"2020-08-31",36,8,2020,"OCEANIA","Shopify","unknown","unknown","unknown","Existing",621,121005,"194.00"
"2020-08-31",36,8,2020,"AFRICA","Shopify","F2","Middle Aged","Families","Existing",4911,944157,"192.00"
"2020-08-31",36,8,2020,"CANADA","Retail","C1","Young Adults","Couples","Existing",56256,2299419,"40.00"
"2020-08-31",36,8,2020,"OCEANIA","Retail","F2","Middle Aged","Families","Existing",345420,18073554,"52.00"
"2020-08-31",36,8,2020,"USA","Shopify","unknown","unknown","unknown","Guest",2647,479002,"180.00"
"2020-08-31",36,8,2020,"CANADA","Retail","C2","Middle Aged","Couples","New",14915,458589,"30.00"
"2020-08-31",36,8,2020,"AFRICA","Shopify","C4","Retires","Couples","Existing",438,80612,"184.00"
"2020-08-31",36,8,2020,"AFRICA","Retail","F3","Retires","Families","New",69632,2472247,"35.00"
"2020-08-31",36,8,2020,"OCEANIA","Shopify","C1","Young Adults","Couples","New",522,69079,"132.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Retail","F1","Young Adults","Families","New",312,11256,"36.00"
"2020-08-31",36,8,2020,"EUROPE","Shopify","C2","Middle Aged","Couples","New",17,2340,"137.00"
"2020-08-31",36,8,2020,"CANADA","Shopify","F1","Young Adults","Families","New",61,8381,"137.00"
"2020-08-31",36,8,2020,"OCEANIA","Retail","C3","Retires","Couples","New",153925,4929679,"32.00"
"2020-08-31",36,8,2020,"ASIA","Retail","C2","Middle Aged","Couples","Existing",129513,4917788,"37.00"
"2020-08-31",36,8,2020,"EUROPE","Shopify","C3","Retires","Couples","New",12,1924,"160.00"
"2020-08-31",36,8,2020,"AFRICA","Shopify","unknown","unknown","unknown","Existing",376,70596,"187.00"
"2020-08-31",36,8,2020,"CANADA","Retail","C3","Retires","Couples","New",29338,1026555,"34.00"
"2020-08-31",36,8,2020,"CANADA","Shopify","F2","Middle Aged","Families","New",98,14789,"150.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Shopify","C2","Middle Aged","Couples","Existing",134,26393,"196.00"
"2020-08-24",35,8,2020,"AFRICA","Retail","unknown","unknown","unknown","Guest",1548059,44081216,"28.00"
"2020-08-24",35,8,2020,"USA","Shopify","F2","Middle Aged","Families","Existing",1898,397206,"209.00"
"2020-08-24",35,8,2020,"AFRICA","Shopify","F1","Young Adults","Families","Existing",2592,489706,"188.00"
"2020-08-24",35,8,2020,"CANADA","Shopify","F2","Middle Aged","Families","Existing",1350,258395,"191.00"
"2020-08-24",35,8,2020,"USA","Retail","F2","Middle Aged","Families","New",28566,1082176,"37.00"
"2020-08-24",35,8,2020,"OCEANIA","Shopify","unknown","unknown","unknown","New",430,71730,"166.00"
"2020-08-24",35,8,2020,"CANADA","Retail","C1","Young Adults","Couples","New",30970,809732,"26.00"
"2020-08-24",35,8,2020,"USA","Shopify","C1","Young Adults","Couples","Existing",773,138404,"179.00"
"2020-08-24",35,8,2020,"EUROPE","Retail","unknown","unknown","unknown","Existing",2986,136429,"45.00"
"2020-08-24",35,8,2020,"CANADA","Retail","C4","Retires","Couples","Existing",29326,1464490,"49.00"
"2020-08-24",35,8,2020,"EUROPE","Retail","unknown","unknown","unknown","Guest",98743,3383683,"34.00"
"2020-08-24",35,8,2020,"CANADA","Retail","C4","Retires","Couples","New",13219,437390,"33.00"
"2020-08-24",35,8,2020,"USA","Shopify","C4","Retires","Couples","Existing",167,32507,"194.00"
"2020-08-24",35,8,2020,"SOUTH AMERICA","Shopify","C4","Retires","Couples","Existing",5,988,"197.00"
"2020-08-24",35,8,2020,"SOUTH AMERICA","Shopify","C2","Middle Aged","Couples","New",46,7823,"170.00"
"2020-08-24",35,8,2020,"OCEANIA","Retail","C4","Retires","Couples","New",65546,2023506,"30.00"
"2020-08-24",35,8,2020,"EUROPE","Retail","F1","Young Adults","Families","New",932,40229,"43.00"
"2020-08-24",35,8,2020,"SOUTH AMERICA","Shopify","F2","Middle Aged","Families","Existing",30,6585,"219.00"
"2020-08-24",35,8,2020,"EUROPE","Shopify","F1","Young Adults","Families","Existing",132,26362,"199.00"
"2020-08-24",35,8,2020,"ASIA","Shopify","unknown","unknown","unknown","New",318,50284,"158.00"
"2020-08-24",35,8,2020,"AFRICA","Retail","C3","Retires","Couples","Existing",287091,14534326,"50.00"
